period_label,segment_name,metric_name,driver_name,value_millions,driver_contribution_pct
2026-Q1,international_combustibles,gross_profit_change,total_change,343.0,1.0
2026-Q1,international_combustibles,gross_profit_change,currency,205.0,0.597667638483965
2026-Q1,international_combustibles,gross_profit_change,price,454.0,1.3236151603498543
2026-Q1,international_combustibles,gross_profit_change,volume_mix_other,-304.0,-0.8862973760932945
2026-Q1,international_combustibles,gross_profit_change,cost,-12.0,-0.03498542274052478
2026-Q1,international_combustibles,revenue_change,total_change,363.0,1.0
2026-Q1,international_combustibles,revenue_change,currency,310.0,0.8539944903581267
2026-Q1,international_combustibles,revenue_change,price,454.0,1.2506887052341598
2026-Q1,international_combustibles,revenue_change,volume_mix_other,-402.0,-1.1074380165289257
2026-Q1,international_combustibles,revenue_change,cost,0.0,0.0
2026-Q1,international_smoke_free,gross_profit_change,total_change,597.0,1.0
2026-Q1,international_smoke_free,gross_profit_change,currency,192.0,0.32160804020100503
2026-Q1,international_smoke_free,gross_profit_change,price,88.0,0.1474036850921273
2026-Q1,international_smoke_free,gross_profit_change,volume_mix_other,290.0,0.48576214405360135
2026-Q1,international_smoke_free,gross_profit_change,cost,27.0,0.04522613065326633
2026-Q1,international_smoke_free,revenue_change,total_change,759.0,1.0
2026-Q1,international_smoke_free,revenue_change,currency,273.0,0.35968379446640314
2026-Q1,international_smoke_free,revenue_change,price,88.0,0.11594202898550725
2026-Q1,international_smoke_free,revenue_change,volume_mix_other,399.0,0.525691699604743
2026-Q1,international_smoke_free,revenue_change,cost,0.0,0.0
2026-Q2,international_combustibles,gross_profit_change,total_change,452.0,1.0
2026-Q2,international_combustibles,gross_profit_change,currency,137.0,0.3030973451327434
2026-Q2,international_combustibles,gross_profit_change,acquisitions_divestitures,0.0,0.0
2026-Q2,international_combustibles,gross_profit_change,price,588.0,1.3008849557522124
2026-Q2,international_combustibles,gross_profit_change,volume_mix_other,-217.0,-0.48008849557522126
2026-Q2,international_combustibles,gross_profit_change,cost,-56.0,-0.12389380530973451
2026-Q2,international_combustibles,revenue_change,total_change,576.0,1.0
2026-Q2,international_combustibles,revenue_change,currency,200.0,0.3472222222222222
2026-Q2,international_combustibles,revenue_change,acquisitions_divestitures,0.0,0.0
2026-Q2,international_combustibles,revenue_change,price,588.0,1.0208333333333333
2026-Q2,international_combustibles,revenue_change,volume_mix_other,-212.0,-0.3680555555555556
2026-Q2,international_combustibles,revenue_change,cost,0.0,0.0
2026-Q2,international_smoke_free,gross_profit_change,total_change,397.0,1.0
2026-Q2,international_smoke_free,gross_profit_change,currency,62.0,0.1561712846347607
2026-Q2,international_smoke_free,gross_profit_change,acquisitions_divestitures,-4.0,-0.010075566750629723
2026-Q2,international_smoke_free,gross_profit_change,price,86.0,0.21662468513853905
2026-Q2,international_smoke_free,gross_profit_change,volume_mix_other,198.0,0.4987405541561713
2026-Q2,international_smoke_free,gross_profit_change,cost,56.0,0.14105793450881612
2026-Q2,international_smoke_free,revenue_change,total_change,483.0,1.0
2026-Q2,international_smoke_free,revenue_change,currency,98.0,0.2028985507246377
2026-Q2,international_smoke_free,revenue_change,acquisitions_divestitures,-17.0,-0.035196687370600416
2026-Q2,international_smoke_free,revenue_change,price,86.0,0.17805383022774326
2026-Q2,international_smoke_free,revenue_change,volume_mix_other,316.0,0.6542443064182195
2026-Q2,international_smoke_free,revenue_change,cost,0.0,0.0
