period_label,product_name,shipment_volume,volume_yoy_pct,volume_change,sfp_growth_contribution
2025-Q1,e_vapor,0.6,,,
2025-Q1,htu,37.1,,,
2025-Q1,oral_sfp,5.3,,,
2025-Q2,e_vapor,0.9,,,
2025-Q2,htu,38.8,,,
2025-Q2,oral_sfp,5.2,,,
2025-Q3,e_vapor,0.9,,,
2025-Q3,htu,40.8,,,
2025-Q3,oral_sfp,5.2,,,
2025-Q4,e_vapor,0.9,,,
2025-Q4,htu,38.4,,,
2025-Q4,oral_sfp,5.0,,,
2026-Q1,e_vapor,1.2,1.0,0.6,0.15
2026-Q1,htu,41.3,0.1132075471698113,4.199999999999996,1.049999999999999
2026-Q1,oral_sfp,4.5,-0.15094339622641506,-0.7999999999999998,-0.19999999999999996
2026-Q2,e_vapor,1.3,0.4444444444444444,0.4,0.11764705882352922
2026-Q2,htu,41.8,0.07731958762886593,3.0,0.8823529411764691
2026-Q2,oral_sfp,5.1,-0.019230769230769384,-0.10000000000000053,-0.02941176470588246
